7.9471 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113b74790>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1024,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
16.7126 	EXP 	down: autoDraw = True
16.7294 	EXP 	center: autoDraw = True
16.7294 	EXP 	left: autoDraw = True
16.7294 	EXP 	right: autoDraw = True
16.7294 	EXP 	up: autoDraw = True
16.7294 	EXP 	down: autoDraw = True
16.7461 	EXP 	center: autoDraw = True
16.7461 	EXP 	left: autoDraw = True
16.7461 	EXP 	right: autoDraw = True
16.7461 	EXP 	up: autoDraw = True
16.7461 	EXP 	down: autoDraw = True
16.7627 	EXP 	center: autoDraw = True
16.7627 	EXP 	left: autoDraw = True
16.7627 	EXP 	right: autoDraw = True
16.7627 	EXP 	up: autoDraw = True
16.7627 	EXP 	down: autoDraw = True
16.7796 	EXP 	center: autoDraw = True
16.7796 	EXP 	left: autoDraw = True
16.7796 	EXP 	right: autoDraw = True
16.7796 	EXP 	up: autoDraw = True
16.7796 	EXP 	down: autoDraw = True
16.7962 	EXP 	center: autoDraw = True
16.7962 	EXP 	left: autoDraw = True
16.7962 	EXP 	right: autoDraw = True
16.7962 	EXP 	up: autoDraw = True
16.7962 	EXP 	down: autoDraw = True
16.8129 	EXP 	center: autoDraw = True
16.8129 	EXP 	left: autoDraw = True
16.8129 	EXP 	right: autoDraw = True
16.8129 	EXP 	up: autoDraw = True
16.8129 	EXP 	down: autoDraw = True
16.8295 	EXP 	center: autoDraw = True
16.8295 	EXP 	left: autoDraw = True
16.8295 	EXP 	right: autoDraw = True
16.8295 	EXP 	up: autoDraw = True
16.8295 	EXP 	down: autoDraw = True
16.8462 	EXP 	center: autoDraw = True
16.8462 	EXP 	left: autoDraw = True
16.8462 	EXP 	right: autoDraw = True
16.8462 	EXP 	up: autoDraw = True
16.8462 	EXP 	down: autoDraw = True
16.8627 	EXP 	center: autoDraw = True
16.8627 	EXP 	left: autoDraw = True
16.8627 	EXP 	right: autoDraw = True
16.8627 	EXP 	up: autoDraw = True
16.8627 	EXP 	down: autoDraw = True
16.8793 	EXP 	center: autoDraw = True
16.8793 	EXP 	left: autoDraw = True
16.8793 	EXP 	right: autoDraw = True
16.8793 	EXP 	up: autoDraw = True
16.8793 	EXP 	down: autoDraw = True
16.8961 	EXP 	center: autoDraw = True
16.8961 	EXP 	left: autoDraw = True
16.8961 	EXP 	right: autoDraw = True
16.8961 	EXP 	up: autoDraw = True
16.8961 	EXP 	down: autoDraw = True
16.9127 	EXP 	center: autoDraw = True
16.9127 	EXP 	left: autoDraw = True
16.9127 	EXP 	right: autoDraw = True
16.9127 	EXP 	up: autoDraw = True
16.9127 	EXP 	down: autoDraw = True
16.9295 	EXP 	center: autoDraw = True
16.9295 	EXP 	left: autoDraw = True
16.9295 	EXP 	right: autoDraw = True
16.9295 	EXP 	up: autoDraw = True
16.9295 	EXP 	down: autoDraw = True
16.9460 	EXP 	center: autoDraw = True
16.9460 	EXP 	left: autoDraw = True
16.9460 	EXP 	right: autoDraw = True
16.9460 	EXP 	up: autoDraw = True
16.9460 	EXP 	down: autoDraw = True
16.9626 	EXP 	center: autoDraw = True
16.9626 	EXP 	left: autoDraw = True
16.9626 	EXP 	right: autoDraw = True
16.9626 	EXP 	up: autoDraw = True
16.9626 	EXP 	down: autoDraw = True
16.9795 	EXP 	center: autoDraw = True
16.9795 	EXP 	left: autoDraw = True
16.9795 	EXP 	right: autoDraw = True
16.9795 	EXP 	up: autoDraw = True
16.9795 	EXP 	down: autoDraw = True
16.9961 	EXP 	center: autoDraw = True
16.9961 	EXP 	left: autoDraw = True
16.9961 	EXP 	right: autoDraw = True
16.9961 	EXP 	up: autoDraw = True
16.9961 	EXP 	down: autoDraw = True
17.0128 	EXP 	center: autoDraw = True
17.0128 	EXP 	left: autoDraw = True
17.0128 	EXP 	right: autoDraw = True
17.0128 	EXP 	up: autoDraw = True
17.0128 	EXP 	down: autoDraw = True
17.0294 	EXP 	center: autoDraw = True
17.0294 	EXP 	left: autoDraw = True
17.0294 	EXP 	right: autoDraw = True
17.0294 	EXP 	up: autoDraw = True
17.0294 	EXP 	down: autoDraw = True
17.0461 	EXP 	center: autoDraw = True
17.0461 	EXP 	left: autoDraw = True
17.0461 	EXP 	right: autoDraw = True
17.0461 	EXP 	up: autoDraw = True
17.0461 	EXP 	down: autoDraw = True
17.0628 	EXP 	center: autoDraw = True
17.0628 	EXP 	left: autoDraw = True
17.0628 	EXP 	right: autoDraw = True
17.0628 	EXP 	up: autoDraw = True
17.0628 	EXP 	down: autoDraw = True
17.0794 	EXP 	center: autoDraw = True
17.0794 	EXP 	left: autoDraw = True
17.0794 	EXP 	right: autoDraw = True
17.0794 	EXP 	up: autoDraw = True
17.0794 	EXP 	down: autoDraw = True
17.0960 	EXP 	center: autoDraw = True
17.0960 	EXP 	left: autoDraw = True
17.0960 	EXP 	right: autoDraw = True
17.0960 	EXP 	up: autoDraw = True
17.0960 	EXP 	down: autoDraw = True
17.1126 	EXP 	center: autoDraw = True
17.1126 	EXP 	left: autoDraw = True
17.1126 	EXP 	right: autoDraw = True
17.1126 	EXP 	up: autoDraw = True
17.1126 	EXP 	down: autoDraw = True
17.1293 	EXP 	center: autoDraw = True
17.1293 	EXP 	left: autoDraw = True
17.1293 	EXP 	right: autoDraw = True
17.1293 	EXP 	up: autoDraw = True
17.1293 	EXP 	down: autoDraw = True
17.1455 	EXP 	center: autoDraw = True
17.1455 	EXP 	left: autoDraw = True
17.1455 	EXP 	right: autoDraw = True
17.1455 	EXP 	up: autoDraw = True
17.1455 	EXP 	down: autoDraw = True
17.1627 	EXP 	center: autoDraw = True
17.1627 	EXP 	left: autoDraw = True
17.1627 	EXP 	right: autoDraw = True
17.1627 	EXP 	up: autoDraw = True
17.1627 	EXP 	down: autoDraw = True
17.1794 	EXP 	center: autoDraw = True
17.1794 	EXP 	left: autoDraw = True
17.1794 	EXP 	right: autoDraw = True
17.1794 	EXP 	up: autoDraw = True
17.1794 	EXP 	down: autoDraw = True
17.1960 	EXP 	center: autoDraw = True
17.1960 	EXP 	left: autoDraw = True
17.1960 	EXP 	right: autoDraw = True
17.1960 	EXP 	up: autoDraw = True
17.1960 	EXP 	down: autoDraw = True
17.2129 	EXP 	center: autoDraw = True
17.2129 	EXP 	left: autoDraw = True
17.2129 	EXP 	right: autoDraw = True
17.2129 	EXP 	up: autoDraw = True
17.2129 	EXP 	down: autoDraw = True
17.2294 	EXP 	center: autoDraw = True
17.2294 	EXP 	left: autoDraw = True
17.2294 	EXP 	right: autoDraw = True
17.2294 	EXP 	up: autoDraw = True
17.2294 	EXP 	down: autoDraw = True
17.2454 	EXP 	center: autoDraw = True
17.2454 	EXP 	left: autoDraw = True
17.2454 	EXP 	right: autoDraw = True
17.2454 	EXP 	up: autoDraw = True
17.2454 	EXP 	down: autoDraw = True
17.2626 	EXP 	center: autoDraw = True
17.2626 	EXP 	left: autoDraw = True
17.2626 	EXP 	right: autoDraw = True
17.2626 	EXP 	up: autoDraw = True
17.2626 	EXP 	down: autoDraw = True
17.2796 	EXP 	center: autoDraw = True
17.2796 	EXP 	left: autoDraw = True
17.2796 	EXP 	right: autoDraw = True
17.2796 	EXP 	up: autoDraw = True
17.2796 	EXP 	down: autoDraw = True
17.2962 	EXP 	center: autoDraw = True
17.2962 	EXP 	left: autoDraw = True
17.2962 	EXP 	right: autoDraw = True
17.2962 	EXP 	up: autoDraw = True
17.2962 	EXP 	down: autoDraw = True
17.3127 	EXP 	center: autoDraw = True
17.3127 	EXP 	left: autoDraw = True
17.3127 	EXP 	right: autoDraw = True
17.3127 	EXP 	up: autoDraw = True
17.3127 	EXP 	down: autoDraw = True
17.3295 	EXP 	center: autoDraw = True
17.3295 	EXP 	left: autoDraw = True
17.3295 	EXP 	right: autoDraw = True
17.3295 	EXP 	up: autoDraw = True
17.3295 	EXP 	down: autoDraw = True
17.3461 	EXP 	center: autoDraw = True
17.3461 	EXP 	left: autoDraw = True
17.3461 	EXP 	right: autoDraw = True
17.3461 	EXP 	up: autoDraw = True
17.3461 	EXP 	down: autoDraw = True
17.3627 	EXP 	center: autoDraw = True
17.3627 	EXP 	left: autoDraw = True
17.3627 	EXP 	right: autoDraw = True
17.3627 	EXP 	up: autoDraw = True
17.3627 	EXP 	down: autoDraw = True
17.3794 	EXP 	center: autoDraw = True
17.3794 	EXP 	left: autoDraw = True
17.3794 	EXP 	right: autoDraw = True
17.3794 	EXP 	up: autoDraw = True
17.3794 	EXP 	down: autoDraw = True
17.3961 	EXP 	center: autoDraw = True
17.3961 	EXP 	left: autoDraw = True
17.3961 	EXP 	right: autoDraw = True
17.3961 	EXP 	up: autoDraw = True
17.3961 	EXP 	down: autoDraw = True
17.4128 	EXP 	center: autoDraw = True
17.4128 	EXP 	left: autoDraw = True
17.4128 	EXP 	right: autoDraw = True
17.4128 	EXP 	up: autoDraw = True
17.4128 	EXP 	down: autoDraw = True
17.4295 	EXP 	center: autoDraw = True
17.4295 	EXP 	left: autoDraw = True
17.4295 	EXP 	right: autoDraw = True
17.4295 	EXP 	up: autoDraw = True
17.4295 	EXP 	down: autoDraw = True
17.4462 	EXP 	center: autoDraw = True
17.4462 	EXP 	left: autoDraw = True
17.4462 	EXP 	right: autoDraw = True
17.4462 	EXP 	up: autoDraw = True
17.4462 	EXP 	down: autoDraw = True
17.4629 	EXP 	center: autoDraw = True
17.4629 	EXP 	left: autoDraw = True
17.4629 	EXP 	right: autoDraw = True
17.4629 	EXP 	up: autoDraw = True
17.4629 	EXP 	down: autoDraw = True
17.4789 	EXP 	center: autoDraw = True
17.4789 	EXP 	left: autoDraw = True
17.4789 	EXP 	right: autoDraw = True
17.4789 	EXP 	up: autoDraw = True
17.4789 	EXP 	down: autoDraw = True
17.4959 	EXP 	center: autoDraw = True
17.4959 	EXP 	left: autoDraw = True
17.4959 	EXP 	right: autoDraw = True
17.4959 	EXP 	up: autoDraw = True
17.4959 	EXP 	down: autoDraw = True
17.5124 	EXP 	center: autoDraw = True
17.5124 	EXP 	left: autoDraw = True
17.5124 	EXP 	right: autoDraw = True
17.5124 	EXP 	up: autoDraw = True
17.5124 	EXP 	down: autoDraw = True
17.5292 	EXP 	center: autoDraw = True
17.5292 	EXP 	left: autoDraw = True
17.5292 	EXP 	right: autoDraw = True
17.5292 	EXP 	up: autoDraw = True
17.5292 	EXP 	down: autoDraw = True
17.5460 	EXP 	center: autoDraw = True
17.5460 	EXP 	left: autoDraw = True
17.5460 	EXP 	right: autoDraw = True
17.5460 	EXP 	up: autoDraw = True
17.5460 	EXP 	down: autoDraw = True
17.5626 	EXP 	center: autoDraw = True
17.5626 	EXP 	left: autoDraw = True
17.5626 	EXP 	right: autoDraw = True
17.5626 	EXP 	up: autoDraw = True
17.5626 	EXP 	down: autoDraw = True
17.5792 	EXP 	center: autoDraw = True
17.5792 	EXP 	left: autoDraw = True
17.5792 	EXP 	right: autoDraw = True
17.5792 	EXP 	up: autoDraw = True
17.5792 	EXP 	down: autoDraw = True
17.5960 	EXP 	center: autoDraw = True
17.5960 	EXP 	left: autoDraw = True
17.5960 	EXP 	right: autoDraw = True
17.5960 	EXP 	up: autoDraw = True
17.5960 	EXP 	down: autoDraw = True
17.6126 	EXP 	center: autoDraw = True
17.6126 	EXP 	left: autoDraw = True
17.6126 	EXP 	right: autoDraw = True
17.6126 	EXP 	up: autoDraw = True
17.6126 	EXP 	down: autoDraw = True
17.6288 	EXP 	center: autoDraw = True
17.6288 	EXP 	left: autoDraw = True
17.6288 	EXP 	right: autoDraw = True
17.6288 	EXP 	up: autoDraw = True
17.6288 	EXP 	down: autoDraw = True
17.6459 	EXP 	center: autoDraw = True
17.6459 	EXP 	left: autoDraw = True
17.6459 	EXP 	right: autoDraw = True
17.6459 	EXP 	up: autoDraw = True
17.6459 	EXP 	down: autoDraw = True
17.6628 	EXP 	center: autoDraw = True
17.6628 	EXP 	left: autoDraw = True
17.6628 	EXP 	right: autoDraw = True
17.6628 	EXP 	up: autoDraw = True
17.6628 	EXP 	down: autoDraw = True
17.6794 	EXP 	center: autoDraw = True
17.6794 	EXP 	left: autoDraw = True
17.6794 	EXP 	right: autoDraw = True
17.6794 	EXP 	up: autoDraw = True
17.6794 	EXP 	down: autoDraw = True
17.6962 	EXP 	center: autoDraw = True
17.6962 	EXP 	left: autoDraw = True
17.6962 	EXP 	right: autoDraw = True
17.6962 	EXP 	up: autoDraw = True
17.6962 	EXP 	down: autoDraw = True
17.7129 	EXP 	center: autoDraw = True
17.7129 	EXP 	left: autoDraw = True
17.7129 	EXP 	right: autoDraw = True
17.7129 	EXP 	up: autoDraw = True
17.7129 	EXP 	down: autoDraw = True
17.7295 	EXP 	center: autoDraw = True
17.7295 	EXP 	left: autoDraw = True
17.7295 	EXP 	right: autoDraw = True
17.7295 	EXP 	up: autoDraw = True
17.7295 	EXP 	down: autoDraw = True
17.7459 	EXP 	center: autoDraw = True
17.7459 	EXP 	left: autoDraw = True
17.7459 	EXP 	right: autoDraw = True
17.7459 	EXP 	up: autoDraw = True
17.7459 	EXP 	down: autoDraw = True
17.7626 	EXP 	center: autoDraw = True
17.7626 	EXP 	left: autoDraw = True
17.7626 	EXP 	right: autoDraw = True
17.7626 	EXP 	up: autoDraw = True
17.7626 	EXP 	down: autoDraw = True
17.7794 	EXP 	center: autoDraw = True
17.7794 	EXP 	left: autoDraw = True
17.7794 	EXP 	right: autoDraw = True
17.7794 	EXP 	up: autoDraw = True
17.7794 	EXP 	down: autoDraw = True
17.7961 	EXP 	center: autoDraw = True
17.7961 	EXP 	left: autoDraw = True
17.7961 	EXP 	right: autoDraw = True
17.7961 	EXP 	up: autoDraw = True
17.7961 	EXP 	down: autoDraw = True
17.8127 	EXP 	center: autoDraw = True
17.8127 	EXP 	left: autoDraw = True
17.8127 	EXP 	right: autoDraw = True
17.8127 	EXP 	up: autoDraw = True
17.8127 	EXP 	down: autoDraw = True
17.8291 	EXP 	center: autoDraw = True
17.8291 	EXP 	left: autoDraw = True
17.8291 	EXP 	right: autoDraw = True
17.8291 	EXP 	up: autoDraw = True
17.8291 	EXP 	down: autoDraw = True
17.8460 	EXP 	center: autoDraw = True
17.8460 	EXP 	left: autoDraw = True
17.8460 	EXP 	right: autoDraw = True
17.8460 	EXP 	up: autoDraw = True
17.8460 	EXP 	down: autoDraw = True
17.8625 	EXP 	center: autoDraw = True
17.8625 	EXP 	left: autoDraw = True
17.8625 	EXP 	right: autoDraw = True
17.8625 	EXP 	up: autoDraw = True
17.8625 	EXP 	down: autoDraw = True
17.8792 	EXP 	center: autoDraw = True
17.8792 	EXP 	left: autoDraw = True
17.8792 	EXP 	right: autoDraw = True
17.8792 	EXP 	up: autoDraw = True
17.8792 	EXP 	down: autoDraw = True
17.8956 	EXP 	center: autoDraw = True
17.8956 	EXP 	left: autoDraw = True
17.8956 	EXP 	right: autoDraw = True
17.8956 	EXP 	up: autoDraw = True
17.8956 	EXP 	down: autoDraw = True
17.9126 	EXP 	center: autoDraw = True
17.9126 	EXP 	left: autoDraw = True
17.9126 	EXP 	right: autoDraw = True
17.9126 	EXP 	up: autoDraw = True
17.9126 	EXP 	down: autoDraw = True
17.9293 	EXP 	center: autoDraw = True
17.9293 	EXP 	left: autoDraw = True
17.9293 	EXP 	right: autoDraw = True
17.9293 	EXP 	up: autoDraw = True
17.9293 	EXP 	down: autoDraw = True
17.9460 	EXP 	center: autoDraw = True
17.9460 	EXP 	left: autoDraw = True
17.9460 	EXP 	right: autoDraw = True
17.9460 	EXP 	up: autoDraw = True
17.9460 	EXP 	down: autoDraw = True
17.9625 	EXP 	center: autoDraw = True
17.9625 	EXP 	left: autoDraw = True
17.9625 	EXP 	right: autoDraw = True
17.9625 	EXP 	up: autoDraw = True
17.9625 	EXP 	down: autoDraw = True
17.9794 	EXP 	center: autoDraw = True
17.9794 	EXP 	left: autoDraw = True
17.9794 	EXP 	right: autoDraw = True
17.9794 	EXP 	up: autoDraw = True
17.9794 	EXP 	down: autoDraw = True
17.9961 	EXP 	center: autoDraw = True
17.9961 	EXP 	left: autoDraw = True
17.9961 	EXP 	right: autoDraw = True
17.9961 	EXP 	up: autoDraw = True
17.9961 	EXP 	down: autoDraw = True
18.0128 	EXP 	center: autoDraw = True
18.0128 	EXP 	left: autoDraw = True
18.0128 	EXP 	right: autoDraw = True
18.0128 	EXP 	up: autoDraw = True
18.0128 	EXP 	down: autoDraw = True
18.0295 	EXP 	center: autoDraw = True
18.0295 	EXP 	left: autoDraw = True
18.0295 	EXP 	right: autoDraw = True
18.0295 	EXP 	up: autoDraw = True
18.0295 	EXP 	down: autoDraw = True
18.0461 	EXP 	center: autoDraw = True
18.0461 	EXP 	left: autoDraw = True
18.0461 	EXP 	right: autoDraw = True
18.0461 	EXP 	up: autoDraw = True
18.0461 	EXP 	down: autoDraw = True
18.0628 	EXP 	center: autoDraw = True
18.0628 	EXP 	left: autoDraw = True
18.0628 	EXP 	right: autoDraw = True
18.0628 	EXP 	up: autoDraw = True
18.0628 	EXP 	down: autoDraw = True
18.0794 	EXP 	center: autoDraw = True
18.0794 	EXP 	left: autoDraw = True
18.0794 	EXP 	right: autoDraw = True
18.0794 	EXP 	up: autoDraw = True
18.0794 	EXP 	down: autoDraw = True
18.0961 	EXP 	center: autoDraw = True
18.0961 	EXP 	left: autoDraw = True
18.0961 	EXP 	right: autoDraw = True
18.0961 	EXP 	up: autoDraw = True
18.0961 	EXP 	down: autoDraw = True
18.1127 	EXP 	center: autoDraw = True
18.1127 	EXP 	left: autoDraw = True
18.1127 	EXP 	right: autoDraw = True
18.1127 	EXP 	up: autoDraw = True
18.1127 	EXP 	down: autoDraw = True
18.1294 	EXP 	center: autoDraw = True
18.1294 	EXP 	left: autoDraw = True
18.1294 	EXP 	right: autoDraw = True
18.1294 	EXP 	up: autoDraw = True
18.1294 	EXP 	down: autoDraw = True
18.1461 	EXP 	center: autoDraw = True
18.1461 	EXP 	left: autoDraw = True
18.1461 	EXP 	right: autoDraw = True
18.1461 	EXP 	up: autoDraw = True
18.1461 	EXP 	down: autoDraw = True
18.1626 	EXP 	center: autoDraw = True
18.1626 	EXP 	left: autoDraw = True
18.1626 	EXP 	right: autoDraw = True
18.1626 	EXP 	up: autoDraw = True
18.1626 	EXP 	down: autoDraw = True
18.1792 	EXP 	center: autoDraw = True
18.1792 	EXP 	left: autoDraw = True
18.1792 	EXP 	right: autoDraw = True
18.1792 	EXP 	up: autoDraw = True
18.1792 	EXP 	down: autoDraw = True
18.1961 	EXP 	center: autoDraw = True
18.1961 	EXP 	left: autoDraw = True
18.1961 	EXP 	right: autoDraw = True
18.1961 	EXP 	up: autoDraw = True
18.1961 	EXP 	down: autoDraw = True
18.2128 	EXP 	center: autoDraw = True
18.2128 	EXP 	left: autoDraw = True
18.2128 	EXP 	right: autoDraw = True
18.2128 	EXP 	up: autoDraw = True
18.2128 	EXP 	down: autoDraw = True
18.2294 	EXP 	center: autoDraw = True
18.2294 	EXP 	left: autoDraw = True
18.2294 	EXP 	right: autoDraw = True
